age_rating,app_rating,category,compatibility,languages,name,price,rank,rating_count,size
4+,4.8,"
                  Health & Fitness
                ","Requires iOS 10.0 or later. Compatible with iPhone, iPad and iPod touch.","English, Arabic, Catalan, Croatian, Czech, Danish, Dutch, Finnish, French, German, Greek, Hebrew, Hindi, Hungarian, Indonesian, Italian, Japanese, Korean, Malay, Norwegian Bokmål, Polish, Portuguese, Romanian, Russian, Simplified Chinese, Slovak, Spanish, Swedish, Thai, Traditional Chinese, Turkish, Ukrainian, Vietnamese, Welsh",Daily Ab Workout - Abs Trainer,Free,,45 Ratings,19.2 MB
4+,4.7,"
                  Health & Fitness
                ","Requires iOS 11.0 or later. Compatible with iPhone, iPad and iPod touch.",English,Calorie Mama AI: Diet Counter,Free,,45 Ratings,188.7 MB
4+,4.8,"
                  Health & Fitness
                ","Requires iOS 10.0 or later. Compatible with iPhone, iPad and iPod touch.","English, Czech, Danish, Dutch, Finnish, French, German, Italian, Japanese, Korean, Norwegian Bokmål, Polish, Portuguese, Russian, Simplified Chinese, Spanish, Swedish, Thai, Turkish",Suunto,Free,50,341 Ratings,344.1 MB
4+,4.8,"
                  Health & Fitness
                ","Requires iOS 9.0 or later. Compatible with iPhone, iPad and iPod touch.","English, Chinese, Japanese, Korean",Deep Relax Sleep Music,Free,,60 Ratings,86 MB
4+,2.6,"
                  Health & Fitness
                ","Requires iOS 9.0 or later. Compatible with iPhone, iPad and iPod touch.",English,Madbarz: Bodyweight Workouts,Free,,8 Ratings,102.9 MB
12+,4.8,"
                  Health & Fitness
                ","Requires iOS 9.3 and watchOS 4.0 or later. Compatible with iPhone, iPad and iPod touch.",English,"Glow Period, Fertility Tracker",Free,,117 Ratings,269 MB
4+,4.8,"
                  Health & Fitness
                ","Requires iOS 11.0 or later. Compatible with iPhone, iPad and iPod touch.",English,Diet by GetFit: Weight Loss,Free,124,379 Ratings,249.9 MB
9+,4.7,"
                  Health & Fitness
                ","Requires iOS 12.2 and watchOS 2.2 or later. Compatible with iPhone, iPad and iPod touch.",English,JEFIT Workout Planner Gym Log,Free,,78 Ratings,91.9 MB
12+,4.7,"
                  Health & Fitness
                ","Requires iOS 10.3 or later. Compatible with iPhone, iPad and iPod touch.","English, German, Japanese, Korean, Spanish",Noom,Free,,37 Ratings,180.2 MB
4+,4.6,"
                  Health & Fitness
                ","Requires iOS 11.0 and watchOS 6.0 or later. Compatible with iPhone, iPad and iPod touch.","English, Japanese, Russian",Steps - Activity Tracker,Free,,35 Ratings,35.2 MB
4+,4.2,"
                  Health & Fitness
                ","Requires iOS 11.0 and watchOS 2.0 or later. Compatible with iPhone, iPad and iPod touch.","English, French, German, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese",iHoroscope - Daily Horoscope,Free,,13 Ratings,287.5 MB
4+,4.8,"
                  Health & Fitness
                ","Requires iOS 9.0 or later. Compatible with iPhone, iPad and iPod touch.","English, Dutch, French, German, Greek, Indonesian, Italian, Japanese, Korean, Malay, Norwegian Bokmål, Polish, Portuguese, Romanian, Russian, Serbian, Simplified Chinese, Slovak, Spanish, Swedish, Thai, Traditional Chinese, Turkish, Ukrainian, Vietnamese",BMI Calculator-Weight Tracker,Free,110,201 Ratings,17.4 MB
9+,4.8,"
                  Health & Fitness
                ","Requires iOS 11.2 or later. Compatible with iPhone, iPad and iPod touch.","English, Danish, Dutch, Finnish, French, German, Greek, Indonesian, Italian, Japanese, Korean, Malay, Norwegian Bokmål, Norwegian Nynorsk, Portuguese, Russian, Simplified Chinese, Spanish, Swedish, Thai, Traditional Chinese, Turkish, Vietnamese",Fit30: Home Workouts Exercise,Free,,358 Ratings,44.8 MB
4+,4.8,"
                  Health & Fitness
                ","Requires iOS 10.0 and watchOS 3.0 or later. Compatible with iPhone, iPad and iPod touch.",English,J&J Official 7 Minute Workout,Free,,203 Ratings,239.2 MB
4+,4.8,"
                  Health & Fitness
                ","Requires iOS 11.0 and watchOS 4.0 or later. Compatible with iPhone, iPad and iPod touch.","English, Arabic, Danish, Dutch, French, German, Hindi, Italian, Japanese, Korean, Polish, Portuguese, Russian, Simplified Chinese, Spanish",My Water Balance-Intake Drink,Free,,41 Ratings,79.5 MB
4+,4.8,"
                  Health & Fitness
                ","Requires iOS 10.0 or later. Compatible with iPhone, iPad and iPod touch.","English, Afrikaans, Catalan, Croatian, Czech, Danish, Dutch, Finnish, French, German, Greek, Hungarian, Indonesian, Italian, Japanese, Korean, Malay, Norwegian Bokmål, Polish, Portuguese, Romanian, Russian, Simplified Chinese, Slovak, Spanish, Swedish, Thai, Traditional Chinese, Turkish, Ukrainian, Vietnamese",Sleep Sounds by Sleep Pillow,Free,,29 Ratings,66.1 MB
4+,3.5,"
                  Health & Fitness
                ","Requires iOS 10.0 and watchOS 4.0 or later. Compatible with iPhone, iPad and iPod touch.","English, Georgian, Russian, Ukrainian",Waterbalance: drink tracker,Free,,2 Ratings,82.2 MB
4+,4.8,"
                  Health & Fitness
                ","Requires iOS 10.0 and watchOS 2.0 or later. Compatible with iPhone, iPad and iPod touch.","English, French, German, Japanese, Simplified Chinese, Spanish",Meditation & Relaxation Music,Free,,44 Ratings,139.9 MB
4+,4.3,"
                  Health & Fitness
                ","Requires iOS 10.0 and watchOS 2.0 or later. Compatible with iPhone, iPad and iPod touch.","English, French, German, Italian, Japanese",Cyclemeter - Cycling & Running,Free,105,9 Ratings,99.8 MB
4+,4.5,"
                  Health & Fitness
                ","Requires iOS 12.0 or later. Compatible with iPhone, iPad and iPod touch. Apple TV.",English,7 Minute Workout,Free,,2 Ratings,30.2 MB
4+,4.8,"
                  Health & Fitness
                ","Requires iOS 11.2 and watchOS 3.0 or later. Compatible with iPhone, iPad and iPod touch.",English,Moment - Screen Time Control,Free,,49 Ratings,104.1 MB
9+,4.7,"
                  Health & Fitness
                ","Requires iOS 8.0 or later. Compatible with iPhone, iPad and iPod touch.","English, German, Japanese, Portuguese, Russian, Simplified Chinese, Traditional Chinese",Psychology - Funny&fascinating Magic Brain Psycho,Free,,235 Ratings,45.3 MB
4+,3.6,"
                  Health & Fitness
                ","Requires iOS 9.0 or later. Compatible with iPhone, iPad and iPod touch.","English, Thai",Catatan Kalori,Free,,17 Ratings,78.7 MB
9+,4.7,"
                  Health & Fitness
                ","Requires iOS 12.0 and watchOS 2.0 or later. Compatible with iPhone, iPad and iPod touch.","English, French, German, Italian, Japanese, Korean, Portuguese, Russian, Simplified Chinese, Spanish, Turkish",Cycles Period & Cycle Tracker,Free,,163 Ratings,115.5 MB
12+,4.0,"
                  Health & Fitness
                ","Requires iOS 10.0 or later. Compatible with iPhone, iPad and iPod touch.",English,Medika App,Free,,22 Ratings,117.6 MB
4+,5.0,"
                  Health & Fitness
                ","Requires iOS 8.0 or later. Compatible with iPhone, iPad and iPod touch.",English,Free Relaxing Nature Sounds and SPA Music,Free,,1 Rating,256.5 MB
12+,3.7,"
                  Health & Fitness
                ",Requires iOS 8.0 or later. Compatible with iPhone and iPod touch.,"English, French, German, Hindi, Italian, Japanese, Korean, Polish, Portuguese, Russian, Simplified Chinese, Spanish, Thai, Traditional Chinese",Wearfit,Free,86,21 Ratings,76.6 MB
4+,4.6,"
                  Health & Fitness
                ","Requires iOS 11.0 and watchOS 4.0 or later. Compatible with iPhone, iPad and iPod touch.","English, French, German, Italian, Japanese, Korean, Portuguese, Russian, Simplified Chinese, Spanish",Meditation & Sounds by Verv,Free,,209 Ratings,93.8 MB
4+,4.0,"
                  Health & Fitness
                ","Requires iOS 9.0 or later. Compatible with iPhone, iPad and iPod touch.","English, Danish, Dutch, Finnish, French, German, Indonesian, Italian, Japanese, Korean, Malay, Norwegian Bokmål, Portuguese, Russian, Simplified Chinese, Spanish, Swedish, Thai, Traditional Chinese, Turkish, Vietnamese",Baby Names‼,Free,,1 Rating,133.8 MB
12+,5.0,"
                  Health & Fitness
                ","Requires iOS 9.0 or later. Compatible with iPhone, iPad and iPod touch.",English,Born To Sweat,Free,,3 Ratings,71.2 MB
4+,4.6,"
                  Health & Fitness
                ","Requires iOS 11 or later. Compatible with iPhone, iPad and iPod touch.",English,Present - Guided Meditation,Free,57,195 Ratings,98.3 MB
4+,4.8,"
                  Health & Fitness
                ","Requires iOS 10.0 or later. Compatible with iPhone, iPad and iPod touch.","English, French, German, Italian, Portuguese, Spanish",Freeletics Running,Free,,433 Ratings,100.3 MB
17+,4.9,"
                  Health & Fitness
                ","Requires iOS 9.0 or later. Compatible with iPhone, iPad and iPod touch.","English, Arabic, Dutch, French, German, Indonesian, Italian, Japanese, Korean, Persian, Polish, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese, Turkish",Six Pack in 30 Days - 6 Pack,Free,71,246 Ratings,119.1 MB
12+,4.9,"
                  Health & Fitness
                ","Requires iOS 11.0 and watchOS 4.0 or later. Compatible with iPhone, iPad and iPod touch.",English,Zero - Fasting Tracker,Free,41,397 Ratings,113.7 MB
12+,5.0,"
                  Health & Fitness
                ","Requires iOS 9.0 or later. Compatible with iPhone, iPad and iPod touch.","English, French, German, Indonesian, Italian, Japanese, Portuguese, Simplified Chinese, Spanish, Turkish",Femometer Fertility Tracker,Free,138,214 Ratings,213.6 MB
4+,4.7,"
                  Health & Fitness
                ",Requires iOS 12.0 and watchOS 5.1 or later. Compatible with iPhone and iPod touch.,"English, Japanese",Zones for Training,Free,84,67 Ratings,60 MB
4+,4.9,"
                  Health & Fitness
                ","Requires iOS 10.0 or later. Compatible with iPhone, iPad and iPod touch.",English,Abs Workout by 7M,Free,126,455 Ratings,97.1 MB
12+,4.5,"
                  Health & Fitness
                ","Requires iOS 11.0 and watchOS 3.0 or later. Compatible with iPhone, iPad and iPod touch.",English,MyNetDiary Calorie/KJ Counter,Free,176,11 Ratings,254 MB
4+,4.7,"
                  Health & Fitness
                ","Requires iOS 10.0 and watchOS 3.0 or later. Compatible with iPhone, iPad and iPod touch.","English, Dutch, French, German, Italian, Japanese, Korean, Portuguese, Russian, Simplified Chinese, Spanish",Withings Health Mate,Free,,213 Ratings,296.2 MB
4+,2.1,"
                  Health & Fitness
                ","Requires iOS 10.0 or later. Compatible with iPhone, iPad and iPod touch.",English,Century App,Free,34,18 Ratings,39 MB
4+,4.9,"
                  Health & Fitness
                ",Requires iOS 11.0 or later. Compatible with iPhone.,"English, Afrikaans, Arabic, Catalan, Croatian, Czech, Danish, Dutch, Finnish, French, German, Greek, Hungarian, Indonesian, Italian, Japanese, Korean, Lithuanian, Malay, Norwegian Bokmål, Polish, Portuguese, Romanian, Russian, Simplified Chinese, Slovak, Spanish, Swedish, Thai, Traditional Chinese, Turkish, Ukrainian, Vietnamese",Running Distance Tracker Pro,Free,42,401 Ratings,145.6 MB
4+,4.8,"
                  Health & Fitness
                ","Requires iOS 9.3 or later. Compatible with iPhone, iPad and iPod touch.",English,Weight Loss Workouts for Women,Free,52,44 Ratings,82.8 MB
4+,4.9,"
                  Health & Fitness
                ","Requires iOS 9.3 or later. Compatible with iPhone, iPad and iPod touch.",English,Interval Timer - HIIT Workouts,Free,,35 Ratings,47.6 MB
4+,3.0,"
                  Health & Fitness
                ","Requires iOS 10.0 or later. Compatible with iPhone, iPad and iPod touch.","English, French, German, Italian, Portuguese, Russian, Spanish",Yoga-Go: Weight Loss Workouts,Free,97,2 Ratings,185.9 MB
4+,4.8,"
                  Health & Fitness
                ","Requires iOS 9.0 and watchOS 3.1 or later. Compatible with iPhone, iPad and iPod touch.",English,Aura: Meditation & Mindfulness,Free,122,73 Ratings,166.4 MB
4+,4.7,"
                  Health & Fitness
                ","Requires iOS 10.0 and watchOS 4.0 or later. Compatible with iPhone, iPad and iPod touch. Apple TV.",English,Zova: #1 for Fitness & Health,Free,,55 Ratings,236.4 MB
4+,3.2,"
                  Health & Fitness
                ","Requires iOS 9.0 or later. Compatible with iPhone, iPad and iPod touch.","English, Arabic, Azerbaijani, Basque, Bosnian, Bulgarian, Burmese, Cambodian, Catalan, Croatian, Czech, Danish, Dutch, Estonian, Finnish, French, Galician, Georgian, German, Greek, Hebrew, Hindi, Hungarian, Indonesian, Italian, Japanese, Korean, Latvian, Lithuanian, Macedonian, Malay, Norwegian Bokmål, Persian, Polish, Portuguese, Romanian, Russian, Serbian, Simplified Chinese, Singhalese, Slovak, Slovenian, Spanish, Swedish, Thai, Tibetan, Traditional Chinese, Turkish, Ukrainian, Urdu, Uzbek, Vietnamese",Huawei Health,Free,66,67 Ratings,171.6 MB
4+,4.8,"
                  Health & Fitness
                ","Requires iOS 9.0 or later. Compatible with iPhone, iPad and iPod touch.","English, Bulgarian, Chinese, Czech, Dutch, French, German, Greek, Hungarian, Indonesian, Italian, Japanese, Korean, Norwegian Bokmål, Polish, Portuguese, Romanian, Russian, Spanish, Swedish, Turkish, Ukrainian",My Calendar - Period Tracker,Free,117,245 Ratings,104.8 MB
4+,4.4,"
                  Health & Fitness
                ","Requires iOS 8.0 or later. Compatible with iPhone, iPad and iPod touch.",English,Instant Abs: Workout Trainer,Free,,5 Ratings,121.8 MB
12+,4.8,"
                  Health & Fitness
                ","Requires iOS 9.0 or later. Compatible with iPhone, iPad and iPod touch.",English,Yoga For Beginners Weight Loss,Free,,201 Ratings,135.4 MB
12+,5.0,"
                  Health & Fitness
                ","Requires iOS 9.0 or later. Compatible with iPhone, iPad and iPod touch.","English, Arabic, Dutch, French, German, Indonesian, Italian, Japanese, Korean, Polish, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese, Turkish",Female Fitness - Women Workout,Free,49,333 Ratings,158.2 MB
4+,4.8,"
                  Health & Fitness
                ","Requires iOS 10.0 and watchOS 6.1 or later. Compatible with iPhone, iPad and iPod touch.",English,Simple Habit: Sleep Meditation,Free,,178 Ratings,248.6 MB
12+,2.7,"
                  Health & Fitness
                ","Requires iOS 8.0 or later. Compatible with iPhone, iPad and iPod touch.",English,MyAdMedika,Free,92,52 Ratings,51.4 MB
4+,4.9,"
                  Health & Fitness
                ","Requires iOS 9.0 or later. Compatible with iPhone, iPad and iPod touch.",English,F45 Training Glofox,Free,81,69 Ratings,18.5 MB
12+,3.9,"
                  Health & Fitness
                ",Requires iOS 8.0 or later. Compatible with iPhone and iPod touch.,"English, Arabic, Bulgarian, Czech, Estonian, French, German, Greek, Indonesian, Italian, Japanese, Korean, Latvian, Lithuanian, Polish, Portuguese, Romanian, Russian, Serbian, Simplified Chinese, Slovak, Spanish, Thai, Traditional Chinese, Turkish",WearFit 2.0,Free,35,31 Ratings,169.4 MB
4+,4.1,"
                  Health & Fitness
                ","Requires iOS 10.0 and watchOS 3.0 or later. Compatible with iPhone, iPad and iPod touch.","English, Arabic, Danish, Dutch, Finnish, French, German, Italian, Norwegian Bokmål, Portuguese, Russian, Simplified Chinese, Spanish, Swedish, Traditional Chinese",Qardio heart health,Free,144,25 Ratings,170.3 MB
4+,4.8,"
                  Health & Fitness
                ","Requires iOS 9.0 or later. Compatible with iPhone, iPad and iPod touch.","English, Japanese, Korean, Russian, Simplified Chinese, Spanish, Traditional Chinese",Tide: Sleep. Focus. Meditation,Free,195,197 Ratings,174.1 MB
4+,4.5,"
                  Health & Fitness
                ","Requires iOS 7.0 or later. Compatible with iPhone, iPad and iPod touch.","English, Thai",7 Minute Workout!,Free,,67 Ratings,10.4 MB
4+,4.8,"
                  Health & Fitness
                ","Requires iOS 12.4 and watchOS 6.0 or later. Compatible with iPhone, iPad and iPod touch.","English, Czech, Danish, Dutch, Finnish, French, German, Greek, Hungarian, Italian, Japanese, Korean, Norwegian Bokmål, Polish, Portuguese, Russian, Simplified Chinese, Spanish, Swedish, Turkish",YAZIO: Calorie Counter App,Free,21,128 Ratings,59.2 MB
4+,4.8,"
                  Health & Fitness
                ","Requires iOS 9.0 or later. Compatible with iPhone, iPad and iPod touch.",English,Home Workout - Get Fit Now,Free,56,487 Ratings,119.5 MB
4+,4.7,"
                  Health & Fitness
                ","Requires iOS 8.0 and watchOS 2.0 or later. Compatible with iPhone, iPad and iPod touch. Apple TV.","English, French, German, Polish, Russian, Spanish",Menstrual Period Tracker,Free,,243 Ratings,11.2 MB
12+,2.6,"
                  Health & Fitness
                ","Requires iOS 8.0 or later. Compatible with iPhone, iPad and iPod touch.",English,HAWA,Free,89,53 Ratings,20.1 MB
4+,4.7,"
                  Health & Fitness
                ","Requires iOS 9.0 or later. Compatible with iPhone, iPad and iPod touch.","English, Chinese, Japanese, Korean","Relaxing Sounds, Sleep Easy",Free,,161 Ratings,33.8 MB
4+,3.1,"
                  Health & Fitness
                ","Requires iOS 9.0 or later. Compatible with iPhone, iPad and iPod touch.","English, Indonesian",ZAP,Free,76,19 Ratings,37.6 MB
12+,4.9,"
                  Health & Fitness
                ","Requires iOS 9.0 or later. Compatible with iPhone, iPad and iPod touch.","English, French, German, Italian, Portuguese, Spanish",BodyFast Intermittent Fasting,Free,27,196 Ratings,51.8 MB
4+,4.4,"
                  Health & Fitness
                ","Requires iOS 10.0 or later. Compatible with iPhone, iPad and iPod touch.","English, Albanian, Arabic, Armenian, Bengali, Bulgarian, Burmese, Cambodian, Chinese, Croatian, Czech, Danish, Dutch, Filipino, Finnish, French, Georgian, German, Greek, Hebrew, Hindi, Hungarian, Indonesian, Italian, Japanese, Kazakh, Korean, Laotian, Lithuanian, Malay, Nepali, Norwegian Bokmål, Norwegian Nynorsk, Polish, Portuguese, Romanian, Russian, Serbian, Simplified Chinese, Singhalese, Slovak, Spanish, Swedish, Thai, Traditional Chinese, Turkish, Urdu, Vietnamese",Relax & Sleep Well: Musicalm,Free,,152 Ratings,61.9 MB
4+,4.8,"
                  Health & Fitness
                ","Requires iOS 10.0 and watchOS 2.0 or later. Compatible with iPhone, iPad and iPod touch.","English, French, German, Italian, Japanese, Korean, Russian, Simplified Chinese, Spanish",Relax Meditation: Guided Mind,Free,174,64 Ratings,314.9 MB
4+,4.8,"
                  Health & Fitness
                ",Requires iOS 9.0 or later. Compatible with iPhone.,"English, Albanian, Arabic, Czech, Danish, Dutch, Estonian, Finnish, French, German, Greek, Hebrew, Hindi, Hungarian, Icelandic, Indonesian, Irish, Italian, Japanese, Korean, Latvian, Lithuanian, Macedonian, Malay, Norwegian Bokmål, Polish, Portuguese, Romanian, Russian, Serbian, Simplified Chinese, Slovak, Slovenian, Spanish, Swedish, Thai, Traditional Chinese, Turkish, Ukrainian, Vietnamese",Samsung Health,Free,68,379 Ratings,238.8 MB
4+,2.8,"
                  Health & Fitness
                ","Requires iOS 9.0 or later. Compatible with iPhone, iPad and iPod touch.",English,Doogether,Free,79,93 Ratings,39.8 MB
4+,4.8,"
                  Health & Fitness
                ","Requires iOS 11.0 and watchOS 4.0 or later. Compatible with iPhone, iPad and iPod touch.","English, French, German, Indonesian, Italian, Japanese, Korean, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese",Map My Ride by Under Armour,Free,100,324 Ratings,406.6 MB
4+,4.8,"
                  Health & Fitness
                ","Requires iOS 11.0 and watchOS 4.0 or later. Compatible with iPhone, iPad and iPod touch.","English, French, German, Indonesian, Italian, Japanese, Korean, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese",Map My Run by Under Armour,Free,120,255 Ratings,398.4 MB
4+,4.7,"
                  Health & Fitness
                ","Requires iOS 10.0 or later. Compatible with iPhone, iPad and iPod touch. Apple TV.","English, Arabic, Catalan, Croatian, Czech, Danish, Dutch, Finnish, French, German, Greek, Hebrew, Hindi, Hungarian, Indonesian, Italian, Japanese, Korean, Malay, Norwegian Bokmål, Polish, Portuguese, Romanian, Russian, Simplified Chinese, Slovak, Spanish, Swedish, Thai, Traditional Chinese, Turkish, Ukrainian, Vietnamese, Welsh",Simply Yoga - Fitness Trainer,Free,,53 Ratings,112.9 MB
4+,4.8,"
                  Health & Fitness
                ","Requires iOS 11.0 or later. Compatible with iPhone, iPad and iPod touch.","English, Danish, Dutch, French, German, Japanese, Norwegian Bokmål, Portuguese, Spanish, Swedish",ClassPass: Fitness Workout App,Free,51,625 Ratings,109.3 MB
17+,3.1,"
                  Health & Fitness
                ","Requires iOS 10.0 or later. Compatible with iPhone, iPad and iPod touch.",English,Prodia Mobile,Free,47,33 Ratings,98.2 MB
4+,4.6,"
                  Health & Fitness
                ","Requires iOS 11.0 and watchOS 4.0 or later. Compatible with iPhone, iPad and iPod touch.","English, Spanish",MyPlate Calorie Counter,Free,,43 Ratings,130.8 MB
4+,1.6,"
                  Health & Fitness
                ","Requires iOS 8.0 or later. Compatible with iPhone, iPad and iPod touch.","English, German, Simplified Chinese, Spanish, Traditional Chinese, Turkish",BT Swatch,Free,,10 Ratings,3.3 MB
4+,4.7,"
                  Health & Fitness
                ","Requires iOS 10.0 or later. Compatible with iPhone, iPad and iPod touch.","English, French, German, Italian, Portuguese, Russian, Spanish, Turkish",Drink Water ∙ Daily Reminder,Free,39,397 Ratings,105.1 MB
4+,,"
                  Health & Fitness
                ","Requires iOS 9.0 or later. Compatible with iPhone, iPad and iPod touch.",English,PumpUp Home Workouts & Fitness,Free,,,64.9 MB
12+,5.0,"
                  Health & Fitness
                ","Requires iOS 10.0 or later. Compatible with iPhone, iPad and iPod touch.","English, Arabic, Bulgarian, Croatian, Czech, Dutch, Finnish, French, German, Greek, Hebrew, Hindi, Hungarian, Indonesian, Italian, Japanese, Korean, Latvian, Malay, Norwegian Bokmål, Polish, Portuguese, Romanian, Russian, Serbian, Simplified Chinese, Slovak, Spanish, Swedish, Thai, Traditional Chinese, Turkish, Ukrainian, Vietnamese",BMI Calculator – Weight Loss,Free,67,4 Ratings,35.6 MB
12+,4.5,"
                  Health & Fitness
                ","Requires iOS 11.2 or later. Compatible with iPhone, iPad and iPod touch.",English,Daily Quotes” and Wallpapers,Free,,20 Ratings,69.7 MB
4+,4.9,"
                  Health & Fitness
                ","Requires iOS 11.0 or later. Compatible with iPhone, iPad and iPod touch.",English,GuavaPass,Free,,815 Ratings,36.9 MB
4+,4.8,"
                  Health & Fitness
                ","Requires iOS 11.0 and watchOS 4.0 or later. Compatible with iPhone, iPad and iPod touch.","English, Danish, French, German, Indonesian, Italian, Japanese, Korean, Norwegian Bokmål, Polish, Portuguese, Russian, Simplified Chinese, Spanish, Swedish, Thai, Traditional Chinese, Turkish, Vietnamese",Sleepzy - Sleep Cycle Tracker,Free,,99 Ratings,267.5 MB
4+,4.8,"
                  Health & Fitness
                ","Requires iOS 10.0 or later. Compatible with iPhone, iPad and iPod touch. Apple TV.","English, Arabic, Catalan, Croatian, Czech, Danish, Dutch, Finnish, French, German, Greek, Hebrew, Hindi, Hungarian, Indonesian, Italian, Japanese, Korean, Malay, Norwegian Bokmål, Polish, Portuguese, Romanian, Russian, Simplified Chinese, Slovak, Spanish, Swedish, Thai, Traditional Chinese, Turkish, Ukrainian, Vietnamese, Welsh",Daily Workouts Fitness Trainer,Free,193,359 Ratings,61.4 MB
4+,4.0,"
                  Health & Fitness
                ","Requires iOS 7.0 or later. Compatible with iPhone, iPad and iPod touch.","English, Japanese","Ultrasound Barrier - Anti Mosquito,Cat,Dog,Rat,Fly,Youngster",Free,112,21 Ratings,10.4 MB
4+,4.8,"
                  Health & Fitness
                ","Requires iOS 11.0 or later. Compatible with iPhone, iPad and iPod touch.","English, Arabic, Danish, Dutch, Finnish, French, German, Greek, Hindi, Italian, Japanese, Korean, Norwegian Bokmål, Polish, Portuguese, Romanian, Russian, Simplified Chinese, Spanish, Swedish, Turkish",Abs Workout - Daily Fitness,Free,,11 Ratings,176.3 MB
12+,3.1,"
                  Health & Fitness
                ",Requires iOS 8.0 or later. Compatible with iPhone and iPod touch.,"English, Arabic, Czech, Dutch, French, German, Japanese, Malay, Polish, Portuguese, Russian, Simplified Chinese, Slovak, Spanish, Thai, Traditional Chinese, Turkish",Yoho Sports,Free,63,65 Ratings,20 MB
4+,4.9,"
                  Health & Fitness
                ","Requires iOS 10.0 and watchOS 4.0 or later. Compatible with iPhone, iPad and iPod touch.","English, Dutch, French, German, Indonesian, Italian, Japanese, Korean, Malay, Polish, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese, Turkish, Vietnamese",Pacer Pedometer & Step Tracker,Free,161,564 Ratings,264.9 MB
12+,4.9,"
                  Health & Fitness
                ","Requires iOS 12.0 and watchOS 2.0 or later. Compatible with iPhone, iPad and iPod touch.","English, Danish, French, German, Japanese, Portuguese, Simplified Chinese, Spanish, Traditional Chinese",Pregnancy & Baby Tracker,Free,186,361 Ratings,124.2 MB
4+,2.4,"
                  Health & Fitness
                ","Requires iOS 10.0 or later. Compatible with iPhone 5S, iPhone 6, iPhone 6 Plus, iPhone 6S, iPhone 6S Plus, iPhone SE, iPhone 7, iPhone 7 Plus, iPhone 8, iPhone 8 Plus, iPhone X, iPhone XS, iPhone XS Max, iPhone XR, iPhone 11, iPhone 11 Pro, iPhone 11 Pro Max, iPad Air, iPad Air Wi-Fi + Cellular, iPad mini 2, iPad mini 2 Wi-Fi + Cellular, iPad Air 2, iPad Air 2 Wi-Fi + Cellular, iPad mini 3, iPad mini 3 Wi-Fi + Cellular, iPad mini 4, iPad mini 4 Wi-Fi + Cellular, iPad Pro (12.9-inch), iPad Pro (12.9-inch) Wi-Fi + Cellular, iPad Pro (9.7‑inch), iPad Pro (9.7-inch) Wi‑Fi + Cellular, iPad (5th generation), iPad (5th generation) Wi‑Fi + Cellular, iPad Pro (12.9‑inch) (2nd generation), iPad Pro (12.9‑inch) (2nd generation) Wi‑Fi + Cellular, iPad Pro (10.5‑inch), iPad Pro (10.5-inch) Wi‑Fi + Cellular, iPad (6th generation), iPad Wi-Fi + Cellular (6th generation), iPad Pro (11-inch), iPad Pro (11-inch) Wi-Fi + Cellular, iPad Pro (12.9-inch) (3rd generation), iPad Pro (12.9-inch) (3rd generation) Wi-Fi + Cellular, iPad mini (5th generation), iPad mini (5th generation) Wi-Fi + Cellular, iPad Air (3rd generation), iPad Air (3rd generation) Wi-Fi + Cellular, iPad (7th generation), iPad (7th generation) Wi-Fi + Cellular and iPod touch.","English, Arabic, French, German, Hebrew, Italian, Japanese, Korean, Polish, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese, Turkish, Vietnamese",Amazfit Watch,Free,43,93 Ratings,379.8 MB
4+,4.8,"
                  Health & Fitness
                ","Requires iOS 9.0 and watchOS 3.0 or later. Compatible with iPhone, iPad and iPod touch.","English, Arabic, Czech, Danish, Dutch, Finnish, French, German, Hindi, Indonesian, Italian, Japanese, Korean, Malay, Norwegian Bokmål, Polish, Portuguese, Russian, Simplified Chinese, Spanish, Swedish, Thai, Traditional Chinese, Turkish, Ukrainian, Vietnamese",StepsApp Pedometer,Free,55,1K Ratings,174.7 MB
4+,3.5,"
                  Health & Fitness
                ","Requires iOS 7.0 or later. Compatible with iPhone, iPad and iPod touch.",English,Complete Gym Guide Lite,Free,,2 Ratings,21.6 MB
12+,3.0,"
                  Health & Fitness
                ","Requires iOS 6.1 or later. Compatible with iPhone, iPad and iPod touch.","English, French, German, Italian, Spanish",Your Ideal Weight: calculator for your losing diet,Free,,1 Rating,25.3 MB
4+,4.9,"
                  Health & Fitness
                ","Requires iOS 11.0 and watchOS 2.0 or later. Compatible with iPhone, iPad and iPod touch.","English, Arabic, Catalan, Czech, Danish, Dutch, Finnish, French, German, Greek, Hebrew, Hungarian, Indonesian, Italian, Japanese, Korean, Malay, Norwegian Bokmål, Polish, Portuguese, Romanian, Russian, Simplified Chinese, Slovak, Spanish, Swedish, Thai, Traditional Chinese, Turkish, Ukrainian, Vietnamese",Argus: Calorie Counter & Step,Free,,324 Ratings,217.7 MB
